rank,area,basin_class,risk,rationale,action
1,Eastern Offshore deepwater — KG basin extension,Cat-I (proven),Low–Med,The one growing source: +337% (0.56→2.44 MMT) as ONGC KG-DWN-98/2 ramped. Step-out around producing deepwater cluster is de-risked.,Development + near-field exploration
2,Andaman deepwater,Cat-III (frontier),High,"India's biggest frontier upside — direct along-strike analog to Indonesia's 2023-24 giant gas finds (Geng North / Layaran, ~5+ TCF each) just across the maritime boundary. Barely drilled.",Frontier seismic + high-impact wildcat
3,Mahanadi offshore (East Coast deepwater),Cat-II,Med–High,Gas-prone deepwater between the proven KG and Bengal fans; under-drilled. Rides the same East-Coast petroleum system as KG.,3D seismic + appraisal
4,Cauvery deepwater,Cat-II,Med,Adjacent to KG success on the same margin; shallow Cauvery already produces. Deepwater flank largely untested.,Seismic + exploration
5,Released 'No-Go' acreage (~1 million sq km),Mixed,Med,Defence 'No-Go' zones opened 2016-22 unlocked ~99% of restricted offshore/onshore — vast new-to-industry acreage on the west & east margins now biddable via OALP.,Fast-track into OALP rounds
6,Kutch–Saurashtra offshore (NW),Cat-II,Med–High,Under-explored western-margin basin near proven Mumbai/Gujarat systems; recent ONGC interest.,Seismic + exploration
7,Western Offshore deepwater (beyond Mumbai High),Cat-I flank,Med,Mumbai High is a mature decliner (−16%); the deeper Arabian-Sea flank of the same prolific basin is comparatively untested.,Deepwater exploration + EOR onshelf
8,Discovered Small Fields (DSF) monetisation,Discovered,Low,"87 already-discovered fields awarded but many undeveloped — fastest, cheapest barrels; no exploration risk, only development.",Accelerate development
9,"EOR/IOR in mature fields (Mumbai High, Barmer)",Producing,Low,Barmer collapsed 6.65→3.43 MMT (−48%) and Mumbai High is declining; enhanced recovery adds barrels cheaper than any new hole.,"EOR (polymer/CO2), infill drilling"
10,"CBM expansion (Damodar, Son-Mahanadi)",Unconventional,Med,"91.8 TCF prognosticated, only 12.1 TCF established; ~65% of coal-bearing area still unexplored.",New CBM/coal-gasification blocks
